ano_campeonato,data,horario,rodada,estadio,arbitro,publico,publico_max,time_man,time_vis,tecnico_man,tecnico_vis,colocacao_man,colocacao_vis,valor_equipe_titular_man,valor_equipe_titular_vis,idade_media_titular_man,idade_media_titular_vis,gols_man,gols_vis,gols_1_tempo_man,gols_1_tempo_vis,escanteios_man,escanteios_vis,faltas_man,faltas_vis,chutes_bola_parada_man,chutes_bola_parada_vis,defesas_man,defesas_vis,impedimentos_man,impedimentos_vis,chutes_man,chutes_vis,chutes_fora_man,chutes_fora_vis
2018,2018-08-23,02:45,20,Estádio Jornalista Mário Filho,Ricardo Marques Ribeiro,7856.0,82238.0,Fluminense,Corinthians,Marcelo Oliveira,Osmar Loss,10.0,7.0,13950000.0,30300000.0,25.8,27.7,1.0,0.0,1.0,0.0,8.0,3.0,11.0,8.0,8.0,15.0,1.0,2.0,4.0,0.0,3.0,1.0,7.0,2.0
2018,2018-08-23,02:45,20,Arena do Grêmio,Marcelo de Lima Henrique,14559.0,60540.0,Grêmio,Cruzeiro,Renato Gaúcho,Mano Menezes,4.0,8.0,50400000.0,25450000.0,29.1,29.9,1.0,1.0,0.0,1.0,6.0,2.0,12.0,15.0,15.0,12.0,4.0,4.0,0.0,0.0,5.0,5.0,3.0,0.0
2018,2018-08-24,12:30,20,Estádio Jornalista Mário Filho,Wilton Sampaio,51878.0,78838.0,Flamengo,EC Vitória,Maurício Barbieri,Paulo César Carpegiani,3.0,18.0,51500000.0,9750000.0,27.7,24.3,1.0,0.0,1.0,0.0,7.0,4.0,19.0,20.0,21.0,20.0,1.0,6.0,1.0,1.0,6.0,1.0,6.0,2.0
2018,2018-08-24,01:00,20,Estádio Raimundo Sampaio,Leandro Pedro Vuaden,22452.0,23018.0,Atlético-MG,Vasco da Gama,Thiago Larghi,Valdir,5.0,15.0,17350000.0,10300000.0,29.5,28.0,0.0,0.0,0.0,0.0,12.0,1.0,16.0,15.0,15.0,16.0,4.0,4.0,0.0,0.0,4.0,4.0,13.0,4.0
2018,2018-09-14,01:00,20,Arena Condá,Flavio Rodrigues de Souza,4146.0,22600.0,Chapecoense,Atlético-PR,Guto Ferreira,Tiago Nunes,16.0,13.0,8250000.0,10600000.0,28.1,24.4,2.0,1.0,0.0,0.0,8.0,4.0,19.0,17.0,17.0,20.0,5.0,3.0,1.0,0.0,4.0,6.0,8.0,6.0
2018,2018-08-25,09:00,21,Estádio Urbano Caldeira,Héber Lopes,11564.0,20120.0,Santos FC,EC Bahia,Cuca,Enderson Moreira,13.0,11.0,40650000.0,14500000.0,26.0,27.8,2.0,0.0,0.0,0.0,6.0,4.0,23.0,18.0,20.0,26.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,4.0
2018,2018-08-26,12:00,21,Arena da Baixada,Marcelo Aparecido Ribeiro de Souza,13577.0,42372.0,Atlético-PR,Grêmio,Tiago Nunes,Renato Gaúcho,16.0,4.0,11500000.0,10600000.0,26.3,28.2,2.0,1.0,1.0,1.0,8.0,1.0,17.0,17.0,19.0,18.0,1.0,5.0,1.0,2.0,7.0,2.0,4.0,2.0
2018,2018-08-26,12:00,21,Neo Química Arena,André Luiz de Freitas Castro,28375.0,49205.0,Corinthians,Paraná,Osmar Loss,Claudinei Oliveira,8.0,20.0,28800000.0,6050000.0,28.4,25.8,1.0,0.0,1.0,0.0,8.0,7.0,17.0,15.0,15.0,19.0,6.0,10.0,2.0,0.0,4.0,2.0,3.0,1.0
2018,2018-08-26,02:00,21,Estádio Governador Magalhães Pinto,Rafael Traci,11453.0,57483.0,Cruzeiro,Fluminense,Mano Menezes,Marcelo Oliveira,7.0,9.0,28250000.0,14250000.0,27.9,24.6,2.0,1.0,1.0,1.0,6.0,5.0,17.0,14.0,14.0,18.0,3.0,2.0,1.0,0.0,3.0,3.0,4.0,2.0
2018,2018-08-26,02:00,21,Estádio Olímpico Nilton Santos,Savio Pereira Sampaio,6031.0,46931.0,Botafogo,Sport Recife,Zé Ricardo,Eduardo Baptista,15.0,17.0,13150000.0,12650000.0,24.7,30.7,2.0,0.0,0.0,0.0,9.0,2.0,22.0,13.0,13.0,26.0,2.0,6.0,4.0,0.0,9.0,2.0,7.0,5.0
2018,2018-08-26,04:00,21,Estádio Cícero Pompeu de Toledo,Wagner Reway,57723.0,67428.0,São Paulo,Ceará SC,Diego Aguirre,Lisca,1.0,19.0,29250000.0,6330000.0,30.0,28.6,1.0,0.0,0.0,0.0,8.0,5.0,13.0,21.0,23.0,13.0,3.0,2.0,0.0,2.0,3.0,3.0,8.0,2.0
2018,2018-08-26,09:00,21,Estádio Raimundo Sampaio,Jean Pierre Goncalves Lima,12887.0,25000.0,América-MG,Flamengo,Adilson Batista,Maurício Barbieri,10.0,3.0,9350000.0,51500000.0,32.0,27.7,2.0,2.0,1.0,1.0,3.0,6.0,12.0,9.0,9.0,12.0,4.0,1.0,0.0,0.0,3.0,6.0,8.0,4.0
2018,2018-08-26,09:00,21,Estádio Manoel Barradas,Leandro Bizzio Marinho,6412.0,35632.0,EC Vitória,Atlético-MG,Paulo César Carpegiani,Thiago Larghi,18.0,6.0,8450000.0,19450000.0,23.4,27.8,1.0,0.0,0.0,0.0,6.0,4.0,19.0,12.0,16.0,21.0,4.0,4.0,2.0,4.0,5.0,4.0,7.0,11.0
2018,2018-08-26,09:00,21,Estádio Beira-Rio,Bruno Arleu de Araújo,43743.0,56000.0,Internacional,Palmeiras,Odair Hellmann,Luiz Felipe Scolari,2.0,5.0,23700000.0,36150000.0,27.1,28.1,0.0,0.0,0.0,0.0,5.0,4.0,14.0,22.0,22.0,15.0,4.0,4.0,1.0,0.0,5.0,5.0,3.0,12.0
2018,2018-08-27,12:00,21,Estádio São Januário,Igor Junior Benevenuto,8782.0,24584.0,Vasco da Gama,Chapecoense,Valdir,Guto Ferreira,14.0,12.0,10300000.0,10450000.0,28.1,27.5,3.0,1.0,0.0,0.0,6.0,4.0,18.0,21.0,22.0,18.0,3.0,4.0,0.0,1.0,7.0,4.0,5.0,4.0
2018,2018-09-01,09:00,22,Estádio Manoel Barradas,Luiz Flávio de Oliveira,12603.0,35632.0,EC Vitória,América-MG,Paulo César Carpegiani,Adilson Batista,17.0,9.0,6200000.0,9050000.0,22.2,31.0,1.0,0.0,0.0,0.0,5.0,3.0,20.0,10.0,13.0,21.0,3.0,6.0,1.0,3.0,7.0,3.0,6.0,1.0
2018,2018-09-01,09:00,22,Arena do Grêmio,Jailson Macedo Freitas,16589.0,60540.0,Grêmio,Botafogo,Renato Gaúcho,Zé Ricardo,5.0,14.0,47200000.0,10900000.0,30.3,24.5,4.0,0.0,2.0,0.0,5.0,6.0,12.0,18.0,18.0,13.0,0.0,3.0,1.0,0.0,8.0,0.0,3.0,3.0
2018,2018-09-02,12:00,22,Estádio Jornalista Mário Filho,Braulio da Silva Machado,33646.0,82000.0,Vasco da Gama,Santos FC,Alberto Valentim,Cuca,12.0,11.0,11400000.0,35300000.0,27.8,26.3,0.0,3.0,0.0,1.0,8.0,3.0,12.0,11.0,11.0,13.0,1.0,3.0,1.0,0.0,3.0,4.0,5.0,6.0
2018,2018-09-02,02:00,22,Neo Química Arena,Wagner do Nascimento Magalhães,29609.0,49205.0,Corinthians,Atlético-MG,Osmar Loss,Thiago Larghi,8.0,6.0,17700000.0,18950000.0,26.3,29.6,1.0,1.0,1.0,1.0,6.0,3.0,16.0,20.0,23.0,16.0,1.0,1.0,0.0,3.0,1.0,2.0,3.0,5.0
2018,2018-09-02,04:00,22,Estádio Jornalista Mário Filho,Raphael Claus,61277.0,78838.0,Flamengo,Ceará SC,Maurício Barbieri,Lisca,3.0,19.0,41750000.0,6980000.0,28.8,28.9,0.0,1.0,0.0,0.0,12.0,1.0,17.0,14.0,14.0,19.0,4.0,9.0,2.0,0.0,9.0,5.0,9.0,4.0
2018,2018-09-02,09:00,22,Arena da Baixada,Leandro Pedro Vuaden,13433.0,42372.0,Atlético-PR,EC Bahia,Tiago Nunes,Enderson Moreira,15.0,13.0,11200000.0,13850000.0,24.8,28.2,2.0,0.0,0.0,0.0,4.0,2.0,13.0,10.0,10.0,16.0,3.0,7.0,3.0,0.0,9.0,3.0,6.0,1.0
2018,2018-09-02,09:00,22,Estádio Cícero Pompeu de Toledo,Dewson Fernando Freitas da Silva,49348.0,67428.0,São Paulo,Fluminense,Diego Aguirre,Marcelo Oliveira,1.0,10.0,23450000.0,11550000.0,29.0,25.6,1.0,1.0,0.0,0.0,5.0,5.0,10.0,15.0,15.0,11.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,7.0
2018,2018-09-02,09:00,22,Estádio Adelmar da Costa Carvalho,Emerson de Almeida Ferreira,13966.0,35000.0,Sport Recife,Paraná,Eduardo Baptista,Claudinei Oliveira,18.0,20.0,10950000.0,6550000.0,29.4,26.2,1.0,0.0,1.0,0.0,11.0,3.0,18.0,12.0,15.0,19.0,3.0,3.0,1.0,3.0,4.0,3.0,4.0,9.0
2018,2018-09-03,12:00,22,Estádio Governador Magalhães Pinto,Wilton Sampaio,16247.0,57483.0,Cruzeiro,Internacional,Mano Menezes,Odair Hellmann,7.0,2.0,28800000.0,24550000.0,30.2,26.3,0.0,0.0,0.0,0.0,8.0,5.0,16.0,14.0,14.0,19.0,2.0,6.0,3.0,0.0,6.0,2.0,10.0,7.0
2018,2018-09-03,12:00,22,Arena Condá,Ricardo Marques Ribeiro,4546.0,22600.0,Chapecoense,Palmeiras,Guto Ferreira,Luiz Felipe Scolari,16.0,4.0,7000000.0,30900000.0,28.0,28.0,1.0,2.0,0.0,1.0,3.0,5.0,13.0,21.0,23.0,14.0,2.0,1.0,1.0,2.0,2.0,4.0,6.0,6.0
2018,2018-09-06,12:30,23,Arena Fonte Nova,Marcelo Aparecido Ribeiro de Souza,13816.0,55000.0,EC Bahia,Sport Recife,Enderson Moreira,Eduardo Baptista,14.0,18.0,11600000.0,12250000.0,26.7,29.4,2.0,0.0,0.0,0.0,8.0,4.0,16.0,18.0,20.0,17.0,1.0,6.0,1.0,2.0,9.0,2.0,3.0,6.0
2018,2018-09-06,12:30,23,Estádio Olímpico Nilton Santos,Raphael Claus,5749.0,46931.0,Botafogo,Cruzeiro,Zé Ricardo,Mano Menezes,16.0,7.0,12100000.0,18250000.0,25.3,30.3,1.0,1.0,1.0,1.0,5.0,2.0,9.0,15.0,15.0,9.0,1.0,8.0,0.0,0.0,2.0,1.0,1.0,0.0
2018,2018-09-06,01:00,23,Estádio Governador Plácido Castelo,Rodolpho Toski Marques,39785.0,60326.0,Ceará SC,Corinthians,Lisca,Osmar Loss,19.0,8.0,6180000.0,18300000.0,27.8,27.6,2.0,1.0,1.0,0.0,7.0,4.0,20.0,18.0,19.0,20.0,4.0,6.0,0.0,1.0,7.0,5.0,5.0,3.0
2018,2018-09-06,02:00,23,Estádio Durival Britto e Silva,Bruno Arleu de Araújo,2829.0,20083.0,Paraná,Chapecoense,Claudinei Oliveira,Guto Ferreira,20.0,17.0,4750000.0,8600000.0,26.0,27.5,1.0,1.0,1.0,0.0,11.0,3.0,22.0,19.0,20.0,24.0,5.0,3.0,2.0,1.0,5.0,6.0,6.0,3.0
2018,2018-09-06,02:00,23,Allianz Parque,Marcelo de Lima Henrique,24601.0,43600.0,Palmeiras,Atlético-PR,Luiz Felipe Scolari,Tiago Nunes,5.0,10.0,28200000.0,11200000.0,30.3,26.4,2.0,0.0,0.0,0.0,6.0,6.0,15.0,14.0,15.0,15.0,1.0,2.0,0.0,1.0,4.0,1.0,3.0,3.0
2018,2018-09-06,02:45,23,Estádio Raimundo Sampaio,Anderson Daronco,20852.0,23018.0,Atlético-MG,São Paulo,Thiago Larghi,Diego Aguirre,6.0,1.0,18100000.0,17400000.0,29.4,31.0,1.0,0.0,1.0,0.0,2.0,9.0,16.0,18.0,20.0,16.0,7.0,2.0,0.0,2.0,2.0,7.0,6.0,7.0
2018,2018-09-06,02:45,23,Estádio Beira-Rio,Ricardo Marques Ribeiro,33633.0,56000.0,Internacional,Flamengo,Odair Hellmann,Maurício Barbieri,2.0,3.0,25800000.0,32250000.0,27.0,26.6,2.0,1.0,1.0,0.0,4.0,3.0,13.0,13.0,15.0,14.0,4.0,3.0,1.0,2.0,4.0,3.0,1.0,3.0
2018,2018-09-07,12:00,23,Estádio Jornalista Mário Filho,Jean Pierre Goncalves Lima,8952.0,82238.0,Fluminense,EC Vitória,Marcelo Oliveira,Paulo César Carpegiani,11.0,13.0,12050000.0,9200000.0,26.6,22.8,0.0,0.0,0.0,0.0,9.0,5.0,11.0,5.0,5.0,12.0,4.0,12.0,1.0,0.0,4.0,0.0,2.0,1.0
2018,2018-09-07,12:00,23,Estádio Municipal Paulo Machado de Carvalho,Savio Pereira Sampaio,16083.0,37000.0,Santos FC,Grêmio,Cuca,Renato Gaúcho,9.0,4.0,35800000.0,24450000.0,25.5,27.3,0.0,0.0,0.0,0.0,5.0,1.0,13.0,9.0,9.0,13.0,3.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0
2018,2018-09-07,01:00,23,Estádio Raimundo Sampaio,Héber Lopes,5061.0,25000.0,América-MG,Vasco da Gama,Adilson Batista,Alberto Valentim,12.0,15.0,9150000.0,11100000.0,31.2,28.9,2.0,1.0,1.0,0.0,4.0,5.0,18.0,12.0,13.0,20.0,3.0,4.0,2.0,1.0,6.0,4.0,3.0,1.0
2018,2018-09-08,09:00,24,Estádio Adelmar da Costa Carvalho,Vinicius Gonçalves Dias Araujo,9525.0,35000.0,Sport Recife,Cruzeiro,Eduardo Baptista,Mano Menezes,18.0,7.0,12850000.0,19700000.0,29.7,31.1,0.0,0.0,0.0,0.0,8.0,4.0,19.0,21.0,23.0,22.0,1.0,2.0,3.0,2.0,2.0,1.0,6.0,4.0
2018,2018-09-09,12:00,24,Estádio Cícero Pompeu de Toledo,André Luiz de Freitas Castro,43550.0,67428.0,São Paulo,EC Bahia,Diego Aguirre,Enderson Moreira,2.0,11.0,20150000.0,12350000.0,30.7,27.0,1.0,0.0,0.0,0.0,11.0,4.0,17.0,17.0,19.0,20.0,2.0,1.0,3.0,2.0,2.0,2.0,5.0,1.0
2018,2018-09-09,02:00,24,Estádio Jornalista Mário Filho,Leandro Bizzio Marinho,28983.0,78838.0,Flamengo,Chapecoense,Maurício Barbieri,Guto Ferreira,4.0,17.0,36550000.0,8150000.0,28.2,27.6,2.0,0.0,1.0,0.0,8.0,3.0,17.0,12.0,12.0,18.0,3.0,3.0,1.0,0.0,5.0,3.0,6.0,3.0
2018,2018-09-09,09:00,24,Estádio Raimundo Sampaio,Daniel Nobre Bins,4348.0,25000.0,América-MG,Ceará SC,Adilson Batista,Lisca,9.0,19.0,8950000.0,6430000.0,32.0,30.0,0.0,0.0,0.0,0.0,3.0,4.0,16.0,10.0,11.0,18.0,2.0,0.0,2.0,1.0,0.0,2.0,4.0,2.0
2018,2018-09-09,09:00,24,Estádio Jornalista Mário Filho,Leandro Pedro Vuaden,10969.0,82238.0,Fluminense,Botafogo,Marcelo Oliveira,Zé Ricardo,12.0,15.0,12350000.0,12300000.0,26.9,24.1,1.0,0.0,1.0,0.0,6.0,7.0,20.0,13.0,14.0,21.0,2.0,4.0,1.0,1.0,5.0,2.0,2.0,5.0
2018,2018-09-09,09:00,24,Allianz Parque,Jean Pierre Goncalves Lima,38568.0,43600.0,Palmeiras,Corinthians,Luiz Felipe Scolari,Jair Ventura,3.0,8.0,38150000.0,21400000.0,28.0,27.7,1.0,0.0,0.0,0.0,8.0,3.0,13.0,16.0,16.0,17.0,0.0,2.0,4.0,0.0,3.0,0.0,5.0,4.0
2018,2018-09-09,09:00,24,Estádio Beira-Rio,Péricles Bassols Pegado Cortez,44176.0,56000.0,Internacional,Grêmio,Odair Hellmann,Renato Gaúcho,1.0,5.0,26800000.0,45450000.0,27.8,29.4,1.0,0.0,0.0,0.0,5.0,4.0,16.0,15.0,17.0,17.0,4.0,6.0,1.0,2.0,2.0,1.0,0.0,0.0
2018,2018-09-10,12:00,24,Estádio Durival Britto e Silva,Dewson Fernando Freitas da Silva,4504.0,20083.0,Paraná,Santos FC,Claudinei Oliveira,Cuca,20.0,10.0,5150000.0,28900000.0,25.6,26.9,0.0,2.0,0.0,0.0,3.0,2.0,14.0,17.0,17.0,14.0,1.0,4.0,0.0,0.0,4.0,3.0,6.0,2.0
